activity,count,best_distribution,best_params,ks_statistic,mean_hours,median_hours
W_Validate application,209496,gamma,"(0.09319622933116853, 0, np.float64(228908.34758640852))",0.19524366825660794,5.925943015967158,0.0023445833333333335
W_Call after offers,191092,lognorm,"(np.float64(7.296950859758287), 0, np.float64(15.816603604945012))",0.19576765307464639,30.13358606307288,0.00874763888888889
W_Call incomplete files,168529,gamma,"(0.10718458886275102, 0, np.float64(298630.26546679216))",0.15791277535894654,8.891267285008976,0.02104861111111111
W_Complete application,148900,lognorm,"(np.float64(6.320709463757613), 0, np.float64(2.6672977723424887))",0.23922075128581716,6.002903939858966,1.3611111111111111e-05
W_Handle leads,47264,lognorm,"(np.float64(3.2599227439441423), 0, np.float64(8.567636391839326))",0.191198791801388,0.4777356244064076,0.009466805555555556
O_Created,42995,gamma,"(5.25117995206514, 0, np.float64(0.2023829601438254))",0.14584348825088134,0.0002952081508185706,0.00028333333333333335
O_Create Offer,42995,lognorm,"(np.float64(2.555051170403458), 0, np.float64(378.11288054660577))",0.24728458736199987,15.317986795673917,0.0550875
O_Sent (mail and online),39707,lognorm,"(np.float64(2.775452652973288), 0, np.float64(15.517325907170244))",0.2991679555823498,0.15821616092040866,0.0055719444444444445
A_Validating,38816,norm,"(np.float64(0.5483753349134378), np.float64(0.5816347999986747))",0.19560857930634284,0.00015232648192039938,0.00020527777777777778
A_Accepted,31509,lognorm,"(np.float64(2.3735155529682896), 0, np.float64(1216.3840765455661))",0.2133328277255056,7.879908023201485,0.13445805555555554
